開始フレーム,終了フレーム,フォーメーション,方向,信頼度
18930,19001,1-5 Formation,right,1.0
19023,19462,0-6 Formation,right,1.0
19807,19867,1-5 Formation,left,1.0
19868,20045,1-5 Formation,left,1.0
20046,20425,0-6 Formation,left,1.0
20482,20701,2-4 Formation,left,1.0
21299,21585,2-4 Formation,right,1.0
22131,22241,0-6 Formation,left,1.0
22243,22294,1-5 Formation,left,1.0
22313,22434,0-6 Formation,left,1.0
22799,22852,3-3 Formation,right,1.0
22975,23185,3-3 Formation,right,1.0
23556,23619,0-6 Formation,right,1.0
23827,23987,2-4 Formation,left,1.0
23988,24041,1-5 Formation,left,1.0
24206,24285,1-5 Formation,left,1.0
24287,24383,1-5 Formation,left,1.0
24435,24566,0-6 Formation,left,1.0
24661,24730,2-4 Formation,left,1.0
24731,24834,1-5 Formation,left,1.0
24858,24932,0-6 Formation,left,1.0
24966,25318,0-6 Formation,right,1.0
25370,25689,0-6 Formation,right,1.0
25691,25762,3-3 Formation,right,1.0
25781,25848,0-6 Formation,right,1.0
26276,26326,1-5 Formation,left,1.0
26349,26450,1-5 Formation,left,1.0
26744,26987,0-6 Formation,right,1.0
27771,28033,0-6 Formation,left,1.0
28443,28524,0-6 Formation,left,1.0
29118,29398,0-6 Formation,right,1.0
29403,29464,Unknown Formation,right,1.0
29484,29562,0-6 Formation,right,1.0
30057,30120,1-5 Formation,left,1.0
30127,30234,0-6 Formation,left,1.0
30236,30513,0-6 Formation,left,1.0
30753,30803,2-4 Formation,right,1.0
30814,31278,0-6 Formation,right,1.0
31377,31428,Unknown Formation,right,1.0
31457,31639,2-4 Formation,right,1.0
32172,32225,1-5 Formation,left,1.0
32226,32623,0-6 Formation,left,1.0
32638,32741,3-3 Formation,left,1.0
32785,32850,1-5 Formation,left,1.0
33835,33965,0-6 Formation,left,1.0
34437,34531,0-6 Formation,right,1.0
34540,34628,0-6 Formation,right,1.0
34630,34704,0-6 Formation,right,1.0
34706,34814,0-6 Formation,right,1.0
34879,34939,0-6 Formation,right,1.0
35082,35174,0-6 Formation,right,1.0
35245,35298,0-6 Formation,right,1.0
35342,35403,0-6 Formation,right,1.0
35868,36291,0-6 Formation,left,1.0
36302,36364,0-6 Formation,left,1.0
36446,36500,0-6 Formation,right,1.0
36573,36887,0-6 Formation,right,1.0
37888,37963,0-6 Formation,left,1.0
37995,38118,0-6 Formation,left,1.0
38764,38900,0-6 Formation,right,1.0
38917,39004,0-6 Formation,right,1.0
39524,39744,0-6 Formation,left,1.0
40191,40593,0-6 Formation,left,1.0
41205,41504,0-6 Formation,left,1.0
42296,42395,0-6 Formation,left,1.0
42702,43032,0-6 Formation,right,1.0
43526,43815,0-6 Formation,left,1.0
43819,43876,2-4 Formation,left,1.0
44188,44263,0-6 Formation,right,1.0
44305,44377,1-5 Formation,right,1.0
44403,44567,2-4 Formation,right,1.0
44998,45129,0-6 Formation,right,1.0
45166,45279,0-6 Formation,left,1.0
45753,45809,1-5 Formation,right,1.0
45810,45865,2-4 Formation,right,1.0
45866,45929,2-4 Formation,right,1.0
45951,46255,0-6 Formation,right,1.0
46562,46688,1-5 Formation,right,1.0
46689,46746,2-4 Formation,right,1.0
46786,46863,1-5 Formation,right,1.0
46890,46992,0-6 Formation,right,1.0
47697,47901,1-5 Formation,left,1.0
47925,48216,0-6 Formation,left,1.0
48330,48402,0-6 Formation,left,1.0
48894,49253,0-6 Formation,left,1.0
49312,49373,0-6 Formation,left,1.0
49956,50404,0-6 Formation,left,1.0
50618,50766,0-6 Formation,left,1.0
51085,51200,0-6 Formation,left,1.0
51473,51556,2-4 Formation,right,1.0
51576,51651,1-5 Formation,right,1.0
51698,51789,2-4 Formation,right,1.0
51793,51873,1-5 Formation,right,1.0
52073,52159,0-6 Formation,left,1.0
52517,52951,0-6 Formation,left,1.0
53322,53464,0-6 Formation,right,1.0
53556,53670,0-6 Formation,right,1.0
53871,53926,0-6 Formation,right,1.0
54190,54529,0-6 Formation,left,1.0
54925,54975,1-5 Formation,right,1.0
54979,55110,0-6 Formation,right,1.0
55140,55202,0-6 Formation,right,1.0
55348,55428,0-6 Formation,right,1.0
55485,55555,3-3 Formation,right,1.0
55638,55812,1-5 Formation,right,1.0
55813,55875,0-6 Formation,right,1.0
56006,56061,2-4 Formation,right,1.0
57471,57635,0-6 Formation,right,1.0
57782,57865,0-6 Formation,right,1.0
58393,58488,0-6 Formation,left,1.0
59095,59351,0-6 Formation,right,1.0
59528,59595,0-6 Formation,left,1.0
59626,59676,0-6 Formation,left,1.0
59993,60057,0-6 Formation,left,1.0
60297,60511,0-6 Formation,right,1.0
60519,60832,0-6 Formation,right,1.0
61932,62044,0-6 Formation,right,1.0
62088,62179,0-6 Formation,right,1.0
62255,62306,0-6 Formation,right,1.0
63481,64060,0-6 Formation,left,1.0
64443,64616,0-6 Formation,right,1.0
64691,64741,2-4 Formation,right,1.0
65741,65975,0-6 Formation,left,1.0
66005,66199,0-6 Formation,left,1.0
66537,66596,0-6 Formation,left,1.0
66598,66650,0-6 Formation,left,1.0
66652,66839,0-6 Formation,left,1.0
66841,66954,0-6 Formation,left,1.0
67676,67799,0-6 Formation,left,1.0
68159,68279,0-6 Formation,right,1.0
68423,69095,0-6 Formation,right,1.0
69169,69331,0-6 Formation,right,1.0
69403,69504,2-4 Formation,right,1.0
69511,69594,2-4 Formation,right,1.0
69928,70042,0-6 Formation,left,1.0
