開始フレーム,終了フレーム,フォーメーション,方向,信頼度,内訳
18930,19585,0--6,right,1.0,"0--6: 447, 1--5: 175, 2--4: 18, 3--3: 3"
19700,19805,1--5,left,1.0,"1--5: 49, 2--4: 22, 0--6: 21"
19806,19806,1--5,right,1.0,1--5: 1
19807,20425,1--5,left,1.0,"0--6: 155, 1--5: 339, 2--4: 109, 3--3: 16"
20482,20488,1--5,left,1.0,"1--5: 5, 0--6: 2"
21299,21831,0--6,right,1.0,"0--6: 220, 1--5: 43, 2--4: 31, 3--3: 21"
22119,22241,1--5,left,1.0,"0--6: 40, 1--5: 78, 2--4: 5"
22242,22242,2--4,right,1.0,2--4: 1
22243,22294,1--5,left,1.0,"1--5: 51, 0--6: 1"
22295,22295,0--6,right,1.0,0--6: 1
22296,22346,1--5,left,1.0,"1--5: 50, 2--4: 1"
22794,22852,0--6,right,1.0,"2--4: 12, 0--6: 37, 1--5: 5, 3--3: 3"
22916,23185,0--6,right,1.0,"0--6: 214, 1--5: 12, 2--4: 18, 3--3: 3, Unknown: 13"
23354,23561,0--6,right,1.0,"1--5: 4, 0--6: 17"
23562,23562,0--6,left,1.0,0--6: 1
23563,23563,0--6,right,1.0,0--6: 1
23564,23565,1--5,left,1.0,"1--5: 1, 0--6: 1"
23566,23567,0--6,right,1.0,0--6: 2
23568,23568,1--5,left,1.0,1--5: 1
23569,23574,0--6,right,1.0,0--6: 6
23575,23575,1--5,left,1.0,1--5: 1
23576,23576,0--6,right,1.0,0--6: 1
23577,23579,1--5,left,1.0,1--5: 3
23580,23582,0--6,right,1.0,0--6: 3
23583,23583,1--5,left,1.0,1--5: 1
23584,23585,0--6,right,1.0,0--6: 2
23586,23590,1--5,left,1.0,1--5: 5
23591,23591,0--6,right,1.0,0--6: 1
23592,23595,1--5,left,1.0,1--5: 4
23596,23597,0--6,right,1.0,0--6: 2
23598,23600,1--5,left,1.0,1--5: 3
23601,23601,0--6,right,1.0,0--6: 1
23602,23602,1--5,left,1.0,1--5: 1
23603,23604,0--6,right,1.0,0--6: 2
23605,23606,1--5,left,1.0,1--5: 1
23607,23610,0--6,right,1.0,0--6: 2
23611,23612,1--5,left,1.0,1--5: 2
23613,23613,0--6,right,1.0,0--6: 1
23614,23618,1--5,left,1.0,1--5: 5
23619,23619,0--6,right,1.0,0--6: 1
23620,23668,1--5,left,1.0,"1--5: 35, 0--6: 13"
23669,23669,0--6,right,1.0,0--6: 1
23670,23676,1--5,left,1.0,1--5: 7
23677,23677,0--6,right,1.0,0--6: 1
23678,23686,1--5,left,1.0,1--5: 9
23687,23687,1--5,right,1.0,1--5: 1
23688,23688,1--5,left,1.0,1--5: 1
23689,23689,1--5,right,1.0,1--5: 1
23690,23692,1--5,left,1.0,1--5: 3
23693,23693,0--6,right,1.0,0--6: 1
23694,23697,1--5,left,1.0,1--5: 4
23698,23698,0--6,right,1.0,0--6: 1
23699,23721,1--5,left,1.0,1--5: 20
23724,23726,1--5,left,1.0,1--5: 2
23732,23735,0--6,left,1.0,0--6: 3
23738,23745,0--6,left,1.0,0--6: 7
23747,23751,0--6,left,1.0,"0--6: 1, 1--5: 1"
23764,23772,1--5,left,1.0,1--5: 7
23773,23776,0--6,right,1.0,0--6: 4
23777,23777,1--5,left,1.0,1--5: 1
23784,23796,0--6,left,1.0,0--6: 12
23799,23804,0--6,left,1.0,"1--5: 2, 0--6: 3"
23806,23850,2--4,left,1.0,"1--5: 6, 2--4: 39"
24084,24084,0--6,right,1.0,0--6: 1
24085,24234,1--5,left,1.0,"3--3: 6, 2--4: 10, 1--5: 65"
24286,24286,0--6,right,1.0,0--6: 1
24287,24340,1--5,left,1.0,1--5: 54
24341,24341,0--6,right,1.0,0--6: 1
24342,24342,1--5,left,1.0,1--5: 1
24343,24343,0--6,right,1.0,0--6: 1
24344,24366,1--5,left,1.0,1--5: 23
24384,24384,0--6,right,1.0,0--6: 1
24385,24566,1--5,left,1.0,"1--5: 144, 0--6: 7, 2--4: 29, 3--3: 2"
24661,24917,1--5,left,1.0,"2--4: 109, 3--3: 28, 1--5: 118, 0--6: 1"
24919,24932,0--6,left,1.0,"2--4: 1, 1--5: 1, 0--6: 9"
24949,25941,0--6,right,1.0,"0--6: 604, 1--5: 150, 2--4: 56, 3--3: 62, Unknown: 10"
26089,26090,0--6,left,1.0,0--6: 2
26120,26134,0--6,right,1.0,0--6: 9
26276,26441,1--5,left,1.0,"1--5: 143, 2--4: 21"
26744,26987,1--5,right,1.0,"0--6: 73, 1--5: 89, 2--4: 55, 3--3: 16, Unknown: 3"
27003,27098,2--4,left,1.0,"2--4: 44, 3--3: 3, 1--5: 14, 0--6: 16"
27456,27496,2--4,right,1.0,"0--6: 4, 2--4: 18"
27498,27521,0--6,right,1.0,"2--4: 7, 1--5: 1, 0--6: 9"
27523,27530,0--6,right,1.0,0--6: 5
27759,27769,1--5,left,1.0,1--5: 10
27771,28039,1--5,left,1.0,"1--5: 177, 2--4: 30, 3--3: 41, Unknown: 9, 0--6: 10"
28381,28388,0--6,left,1.0,0--6: 6
28390,28397,0--6,left,1.0,0--6: 7
28399,28414,0--6,left,1.0,0--6: 15
28416,28441,0--6,left,1.0,0--6: 21
28443,28524,0--6,left,1.0,0--6: 82
28586,28625,0--6,left,1.0,0--6: 37
28642,28647,0--6,left,1.0,0--6: 5
28652,28672,0--6,left,1.0,0--6: 18
28674,28692,0--6,left,1.0,0--6: 17
29076,29677,0--6,right,1.0,"0--6: 265, 1--5: 205, 2--4: 81, 3--3: 35, Unknown: 4"
30019,30093,1--5,left,1.0,"1--5: 73, 0--6: 1"
30167,30171,1--5,left,1.0,1--5: 4
30173,30183,1--5,left,1.0,1--5: 10
30186,30195,1--5,left,1.0,"1--5: 8, 0--6: 1"
30197,30217,0--6,left,1.0,"0--6: 12, 1--5: 8"
30219,30234,1--5,left,1.0,1--5: 15
30236,30522,1--5,left,1.0,"1--5: 227, 2--4: 45, 0--6: 1, 3--3: 6"
30559,31287,0--6,right,1.0,"0--6: 422, 1--5: 106, 2--4: 6, 3--3: 17, Unknown: 13"
31377,31430,1--5,right,1.0,"2--4: 22, 1--5: 30"
31457,31878,0--6,right,1.0,"0--6: 170, 1--5: 23, 2--4: 21, 3--3: 8, Unknown: 11"
32127,32619,2--4,left,1.0,"2--4: 304, 1--5: 100, 3--3: 50, Unknown: 28"
33105,33126,0--6,left,1.0,"1--5: 1, 0--6: 2"
33127,33128,0--6,right,1.0,0--6: 1
33129,33133,0--6,left,1.0,0--6: 3
33142,33925,0--6,left,1.0,"3--3: 1, 1--5: 41, 0--6: 50"
33926,33926,0--6,right,1.0,0--6: 1
33927,33927,0--6,left,1.0,0--6: 1
33928,33932,0--6,right,1.0,0--6: 5
33933,33933,0--6,left,1.0,0--6: 1
33934,33935,0--6,right,1.0,0--6: 2
33936,33936,0--6,left,1.0,0--6: 1
33937,33938,0--6,right,1.0,"0--6: 1, 1--5: 1"
33939,33939,0--6,left,1.0,0--6: 1
33940,33940,1--5,right,1.0,1--5: 1
33941,33941,0--6,left,1.0,0--6: 1
33942,33942,1--5,right,1.0,1--5: 1
33943,33948,1--5,left,1.0,"1--5: 4, 0--6: 2"
33949,33953,1--5,right,1.0,1--5: 5
33954,33957,2--4,left,1.0,2--4: 4
33958,33958,1--5,right,1.0,1--5: 1
33959,33959,2--4,left,1.0,2--4: 1
33960,33962,1--5,right,1.0,1--5: 3
33963,33963,2--4,left,1.0,2--4: 1
33964,33964,1--5,right,1.0,1--5: 1
33965,33966,1--5,left,1.0,1--5: 1
33967,33970,0--6,right,1.0,"1--5: 1, 0--6: 2"
33973,33982,1--5,right,1.0,1--5: 8
33984,33989,1--5,right,1.0,1--5: 4
33991,34051,1--5,right,1.0,"1--5: 28, 0--6: 20"
34181,34227,1--5,right,1.0,"1--5: 26, 0--6: 9, 2--4: 7"
34402,34473,0--6,right,1.0,"0--6: 35, 1--5: 7"
34475,34531,0--6,right,1.0,"0--6: 36, 1--5: 20"
34533,34623,1--5,right,1.0,"0--6: 27, 1--5: 64"
34625,34693,1--5,right,1.0,"1--5: 64, 2--4: 1, 0--6: 3"
34697,34733,2--4,right,1.0,"1--5: 8, 0--6: 1, 3--3: 6, 2--4: 20"
34740,34745,2--4,right,1.0,"2--4: 4, 1--5: 1"
34747,34787,2--4,right,1.0,"1--5: 9, 2--4: 29, 3--3: 2"
34789,34801,2--4,right,1.0,"3--3: 2, 2--4: 9, 1--5: 2"
34804,34823,1--5,right,1.0,"1--5: 11, 0--6: 4"
34825,34846,0--6,right,1.0,"0--6: 8, 1--5: 5"
34848,34866,1--5,right,1.0,"1--5: 8, 0--6: 7, 2--4: 1"
34868,34886,1--5,right,1.0,"0--6: 3, 1--5: 14, 2--4: 1"
34888,34900,2--4,right,1.0,"2--4: 6, 1--5: 5"
34902,34903,2--4,right,1.0,"2--4: 1, 1--5: 1"
34911,34934,0--6,right,1.0,"2--4: 8, 1--5: 6, 0--6: 9"
34939,35066,0--6,right,1.0,"1--5: 3, 0--6: 9, 2--4: 1"
35068,35174,0--6,right,1.0,"0--6: 80, 1--5: 25, 2--4: 1"
35178,35241,0--6,right,1.0,"0--6: 49, 1--5: 15"
35243,35298,0--6,right,1.0,"0--6: 36, 1--5: 20"
35300,35364,0--6,right,1.0,"0--6: 40, 1--5: 24"
35367,35383,1--5,right,1.0,"1--5: 10, 2--4: 6"
35385,35396,1--5,right,1.0,"1--5: 9, 0--6: 2"
35398,35421,1--5,right,1.0,"1--5: 6, 0--6: 5"
35455,35495,0--6,left,1.0,"0--6: 1, 1--5: 1"
35498,35527,1--5,left,1.0,"1--5: 1, 2--4: 1"
35640,35645,0--6,left,1.0,0--6: 2
35649,35866,0--6,left,1.0,0--6: 2
35868,36354,1--5,left,1.0,"0--6: 64, 1--5: 315, 2--4: 57, 3--3: 37, Unknown: 4"
36355,36355,2--4,right,1.0,2--4: 1
36356,36359,1--5,left,1.0,1--5: 4
36360,36363,3--3,right,1.0,"2--4: 1, 3--3: 3"
36364,36364,2--4,left,1.0,2--4: 1
36365,36366,2--4,right,1.0,2--4: 1
36376,36894,1--5,right,1.0,"0--6: 186, 1--5: 267, 2--4: 20"
37029,37184,1--5,right,1.0,"0--6: 14, 1--5: 51, 2--4: 14, 3--3: 17, Unknown: 25"
