開始フレーム,終了フレーム,フォーメーション,方向,信頼度,フォーメーション内訳,phase_id,manual_start,manual_end
18851,19703,1-5_right,right,0.92,"3-3_right: 301, 2-4_right: 33, 1-2-3_right: 265, 3-3_left: 125, 1-2-3_left: 33, 1-5_right: 6, 2-4_left: 3",1,18800,19700
19704,19805,0-6_left,left,0.95,"3-3_left: 20, 1-5_left: 11, 1-2-3_left: 41, 2-4_left: 21, 0-6_left: 9",2,19700,20840
22243,22294,1-5_left,left,0.96,"0-6_left: 12, 1-2-3_left: 4, 1-5_left: 36",3,22100,22500
24287,24383,1-5_left,left,0.94,"1-5_left: 92, 1-2-3_left: 2, 2-4_left: 1",4,23600,24900
24933,26134,0-6_right,right,0.91,"3-3_left: 184, 2-4_left: 7, 1-2-3_left: 54, 0-6_left: 1, 1-5_left: 4, 3-3_right: 260, 1-2-3_right: 318, 0-6_right: 92, 1-5_right: 64, 2-4_right: 27",5,25200,25850
26276,26644,1-2-3_left,left,0.94,"0-6_left: 75, 1-5_left: 55, 1-2-3_left: 80, 2-4_left: 19, 3-3_left: 37, 2-4_right: 1, 3-3_right: 26, 1-2-3_right: 5, 1-5_right: 7",6,26300,26600
26720,26987,0-6_left,right,0.91,"3-3_right: 124, 1-2-3_right: 11, 2-4_right: 4, 0-6_right: 2, 3-3_left: 35, 2-4_left: 13, 1-2-3_left: 18, 1-5_left: 42, 0-6_left: 11",7,26750,26900
27771,28441,0-6_left,left,0.93,"1-5_left: 100, 0-6_left: 64, 1-2-3_left: 60, 2-4_left: 6, 3-3_left: 20, 3-3_right: 26, 1-5_right: 15, 1-2-3_right: 14, 0-6_right: 20, 2-4_right: 5",8,27750,28050
29011,30056,3-3_right,right,0.9,"3-3_right: 293, 1-2-3_right: 110, 1-5_right: 5, 3-3_left: 166, 2-4_right: 11, 2-4_left: 26, 1-2-3_left: 16, 0-6_left: 2, 1-5_left: 3",9,29100,29700
30236,30575,1-2-3_left,left,0.93,"1-5_left: 125, 0-6_left: 56, 2-4_left: 40, 1-2-3_left: 76, 3-3_left: 20, 1-2-3_right: 8, 2-4_right: 11, 3-3_right: 3",10,30000,30600
30681,31853,1-2-3_left,right,0.92,"3-3_right: 447, 2-4_right: 76, 3-3_left: 64, 1-2-3_right: 134, 1-5_right: 16, 0-6_right: 104, 1-2-3_left: 23, 2-4_left: 20",11,30900,31700
32112,33199,1-2-3_left,left,0.92,"1-5_left: 182, 0-6_left: 159, 1-2-3_left: 217, 2-4_left: 125, 3-3_left: 67, 1-2-3_right: 10, 3-3_right: 10, 2-4_right: 1",12,32100,32900
35868,36378,1-5_left,left,0.93,"0-6_left: 148, 1-5_left: 230, 1-2-3_left: 72, 3-3_left: 32, 2-4_left: 13",13,35900,36450
36379,36985,2-4_right,right,0.92,"1-5_left: 10, 0-6_left: 13, 1-2-3_left: 19, 3-3_left: 64, 2-4_left: 4, 3-3_right: 150, 2-4_right: 111, 1-5_right: 12, 0-6_right: 95, 1-2-3_right: 55",14,36600,36900
37760,37963,2-4_left,left,0.94,"1-2-3_left: 42, 3-3_left: 34, 0-6_left: 29, 1-5_left: 42, 2-4_left: 5, 3-3_right: 42, 2-4_right: 8",15,37800,38200
38443,39285,2-4_right,right,0.9,"1-2-3_right: 64, 3-3_right: 84, 1-5_left: 12, 1-2-3_left: 16, 2-4_left: 23, 3-3_left: 68, 1-5_right: 58, 2-4_right: 80, 0-6_right: 9",16,38700,39000
39365,39808,3-3_left,left,0.94,"1-5_left: 28, 2-4_left: 103, 0-6_left: 110, 3-3_left: 12, 1-2-3_left: 21",17,39530,39800
40191,40674,2-4_left,left,0.93,"0-6_left: 116, 1-5_left: 146, 1-2-3_left: 95, 3-3_left: 69, 2-4_left: 54, 3-3_right: 2",18,40300,40700
