開始フレーム,終了フレーム,フォーメーション,方向
18851,19658,0-6,right
19704,19805,1-5,left
19807,20825,1-5,left
21002,21098,1-5,right
21127,21781,0-6,right
21791,21901,1-5,right
22105,22241,1-5,left
22243,22294,1-5,left
22296,22491,1-5,left
22675,22767,1-5,right
22769,23358,0-6,right
23382,23542,0-6,right
23806,24083,1-5,left
24148,24285,1-5,left
24287,24340,1-5,left
24385,24917,1-5,left
24933,26074,0-6,right
26276,26632,1-5,left
26720,26978,1-5,right
26988,27124,0-6,left
27144,27447,1-5,right
27526,27758,0-6,right
27771,28039,0-6,left
28443,28590,1-5,left
28850,28999,1-5,right
29011,30006,1-5,right
30057,30163,1-5,left
30236,30558,1-5,left
30681,31853,1-5,right
31861,31948,1-5,right
32112,32864,1-5,left
33200,33472,1-5,right
33835,33925,0-6,left
33991,34206,0-6,right
34208,34473,1-5,right
34533,34623,1-5,right
34630,34695,1-5,right
34999,35066,1-5,right
35071,35174,1-5,right
35178,35241,0-6,right
35243,35298,1-5,right
35300,35364,1-5,right
35564,35639,0-6,right
35868,36354,1-5,left
36379,36891,0-6,right
36989,37517,1-5,right
37701,37751,0-6,right
37760,37951,1-5,left
37965,38200,1-5,left
38443,39199,1-5,right
39287,39342,1-5,right
39365,39787,1-5,left
39809,39875,1-5,right
40191,40667,0-6,left
40675,41202,1-5,right
41205,41580,1-5,left
41606,41898,1-5,right
41977,42215,0-6,right
42260,42469,1-5,left
42575,43081,1-5,right
43087,43276,0-6,right
43284,43338,1-5,right
43526,43904,1-5,left
44094,44155,0-6,right
44157,44258,0-6,right
44265,44914,1-5,right
45130,45357,0-6,left
45372,45552,1-5,right
45736,46453,0-6,right
46455,46512,0-6,right
46514,47267,0-6,right
47288,47368,0-6,left
47498,47809,0-6,left
47903,48397,1-5,left
48447,48771,1-5,right
48840,48890,0-6,left
48892,49253,1-5,left
49256,49400,1-5,left
49422,49679,1-5,right
49956,50766,0-6,left
50907,51001,0-6,right
51011,51067,0-6,left
51069,51200,1-5,left
51355,51914,1-5,right
52052,52159,0-6,left
52514,52963,1-5,left
53162,53240,0-6,right
53242,53529,0-6,right
53556,54150,1-5,right
54190,54546,1-5,left
54743,55875,0-6,right
56106,56328,1-5,right
56367,56497,1-5,left
56752,56838,0-6,left
56840,57032,0-6,left
57194,57454,0-6,right
57471,58128,0-6,right
58388,58586,1-5,left
58638,58788,1-5,right
58819,59440,1-5,right
59502,59676,1-5,left
59956,60164,0-6,left
60256,61059,1-5,right
61064,61116,1-5,right
61271,61341,1-5,right
61354,61457,1-5,right
61565,61632,1-5,right
61690,61758,1-5,right
61789,62168,1-5,right
62182,62269,1-5,right
62701,63007,1-5,right
63034,63156,1-5,left
63417,64095,1-5,left
64120,64201,1-5,left
64394,65471,1-5,right
65741,66139,1-5,left
66298,66371,1-5,right
66537,66596,1-5,left
66598,66650,1-5,left
66652,67009,1-5,left
67266,67543,1-5,left
67563,68033,1-5,left
68159,68279,0-6,right
68388,69147,1-5,right
69149,69888,1-5,right
69892,70201,1-5,left
70493,70574,1-5,right
