開始フレーム,終了フレーム,フォーメーション,方向,信頼度,フォーメーション内訳
18851,19703,0-6_right,right,0.85,"3-3_right: 133, 2-4_right: 48, 0-6_right: 343, 1-2-3_right: 116, 1-5_right: 125, 3-3_left: 1"
19704,19805,0-6_left,left,0.86,"0-6_left: 98, 1-5_left: 4"
19807,21001,0-6_left,left,0.87,"0-6_left: 957, 1-5_left: 6, 3-3_left: 1"
21002,21125,3-3_left,right,0.73,"3-3_left: 29, 3-3_right: 8, 1-2-3_right: 7, 0-6_left: 4, 1-5_right: 9, 0-6_right: 10"
21127,21789,0-6_right,right,0.84,"1-5_right: 70, 0-6_right: 176, 1-5_left: 5, 3-3_left: 2, 1-2-3_right: 84, 2-4_right: 13, 3-3_right: 17"
21791,22104,1-5_right,right,0.67,"0-6_right: 16, 1-5_right: 29, 1-2-3_right: 11, 2-4_right: 1, 1-2-3_left: 4, 3-3_right: 4, 3-3_left: 3, 1-5_left: 1"
22105,22241,0-6_left,left,0.87,"0-6_left: 136, 1-2-3_left: 1"
22243,22294,0-6_left,left,0.89,0-6_left: 52
22296,22491,0-6_left,left,0.86,"0-6_left: 190, 1-5_left: 6"
22675,22767,1-5_right,right,0.82,"1-2-3_right: 8, 1-5_right: 33, 3-3_right: 13, 2-4_right: 2, 0-6_right: 20"
22769,23380,0-6_right,right,0.82,"3-3_right: 101, 3-3_left: 3, 2-4_right: 12, 1-2-3_right: 64, 1-5_right: 42, 0-6_right: 162"
23382,23805,3-3_right,right,0.83,"1-5_right: 7, 3-3_left: 1, 3-3_right: 26, 0-6_left: 2, 2-4_right: 20, 0-6_right: 22, 1-2-3_right: 26"
23806,24100,0-6_left,left,0.78,"0-6_left: 241, 1-5_left: 41, 1-2-3_left: 12"
24148,24285,0-6_left,left,0.79,"0-6_left: 127, 1-2-3_left: 11"
24287,24383,0-6_left,left,0.79,0-6_left: 95
24385,24932,0-6_left,left,0.83,"0-6_left: 447, 3-3_left: 3"
24933,26134,0-6_right,right,0.84,"3-3_right: 112, 3-3_left: 29, 1-2-3_right: 43, 0-6_right: 627, 1-5_right: 148, 2-4_right: 52"
26276,26644,0-6_left,left,0.87,"0-6_left: 216, 1-2-3_left: 2, 1-5_left: 72, 2-4_left: 12, 3-3_left: 3"
26720,26987,3-3_right,right,0.81,"3-3_right: 102, 1-2-3_right: 24, 0-6_right: 74, 1-5_right: 36, 2-4_right: 14, 3-3_left: 9, 2-4_left: 1"
26988,27143,0-6_left,left,0.85,"0-6_left: 123, 1-5_left: 2, 2-4_left: 3, 1-2-3_left: 6, 3-3_left: 8"
27144,27524,3-3_right,right,0.82,"3-3_left: 52, 1-5_left: 1, 1-2-3_left: 23, 3-3_right: 82, 1-2-3_right: 17, 2-4_right: 2, 1-5_right: 6, 0-6_right: 10"
27526,27770,0-6_right,right,0.49,"0-6_right: 7, 3-3_right: 1"
27771,28441,0-6_left,left,0.83,"0-6_left: 230, 1-5_left: 32, 1-2-3_left: 24, 3-3_left: 44"
28443,28692,1-5_left,left,0.71,"3-3_left: 7, 1-5_left: 80, 1-2-3_left: 63, 1-2-3_right: 7, 0-6_left: 20"
28850,29008,0-6_right,right,0.57,"1-5_left: 8, 0-6_right: 62, 0-6_left: 12, 1-5_right: 18, 1-2-3_right: 1"
29011,30056,0-6_right,right,0.85,"3-3_right: 25, 1-2-3_right: 106, 1-5_right: 85, 3-3_left: 9, 0-6_right: 361, 2-4_right: 26, 1-5_left: 2, 2-4_left: 10, 0-6_left: 1, 1-2-3_left: 7"
30057,30234,0-6_left,left,0.86,0-6_left: 165
30236,30575,0-6_left,left,0.88,"0-6_left: 311, 2-4_left: 6, 1-5_left: 15, 3-3_left: 7"
30681,31853,0-6_right,right,0.81,"3-3_right: 58, 1-2-3_right: 49, 0-6_right: 628, 1-5_right: 128, 2-4_right: 13, 3-3_left: 8"
31861,32111,3-3_right,right,0.73,"3-3_right: 33, 1-2-3_right: 4, 0-6_right: 2, 1-5_right: 9, 3-3_left: 8, 1-2-3_left: 2, 1-5_left: 2"
32112,33199,0-6_left,left,0.84,"0-6_left: 739, 1-5_left: 28, 1-2-3_left: 3, 3-3_left: 1"
33200,33472,3-3_left,right,0.76,"3-3_left: 14, 1-2-3_left: 8, 1-5_left: 13, 3-3_right: 1, 1-2-3_right: 1"
33835,33990,0-6_left,left,0.83,"0-6_left: 118, 1-5_left: 1"
33991,34206,3-3_right,right,0.84,"3-3_left: 20, 3-3_right: 49, 2-4_right: 1"
34208,34531,1-5_right,right,0.72,"3-3_left: 8, 3-3_right: 26, 1-2-3_left: 8, 2-4_left: 1, 1-5_right: 49, 0-6_right: 30, 1-5_left: 2, 0-6_left: 3, 1-2-3_right: 3"
34533,34628,0-6_right,right,0.71,"0-6_right: 54, 1-5_right: 25, 3-3_right: 10, 2-4_right: 5, 1-2-3_right: 1"
