開始フレーム,終了フレーム,フォーメーション,方向,信頼度,フォーメーション内訳
18851,19703,1-5_right,right,0.92,"3-3_right: 301, 2-4_right: 33, 1-2-3_right: 265, 3-3_left: 125, 1-2-3_left: 33, 1-5_right: 6, 2-4_left: 3"
19704,19805,0-6_left,left,0.95,"3-3_left: 20, 1-5_left: 11, 1-2-3_left: 41, 2-4_left: 21, 0-6_left: 9"
19807,21001,1-5_left,left,0.94,"2-4_left: 22, 1-5_left: 475, 0-6_left: 61, 1-2-3_left: 356, 3-3_left: 50"
21002,21125,3-3_left,right,0.72,"3-3_left: 33, 3-3_right: 10, 1-2-3_right: 2, 0-6_left: 2, 1-2-3_left: 4, 1-5_right: 9, 1-5_left: 7"
21127,21789,2-4_right,right,0.92,"1-2-3_left: 5, 1-2-3_right: 107, 3-3_left: 66, 1-5_right: 15, 1-5_left: 6, 3-3_right: 166, 2-4_right: 2"
21791,22104,3-3_left,right,0.79,"1-5_right: 18, 3-3_right: 27, 1-2-3_right: 5, 1-2-3_left: 3, 3-3_left: 14, 1-5_left: 2"
22105,22241,1-2-3_left,left,0.93,"0-6_left: 28, 1-5_left: 23, 3-3_left: 6, 2-4_left: 43, 1-2-3_left: 37"
22243,22294,1-5_left,left,0.96,"0-6_left: 12, 1-2-3_left: 4, 1-5_left: 36"
22296,22491,1-5_left,left,0.95,"1-5_left: 26, 3-3_left: 34, 2-4_left: 52, 1-2-3_left: 84"
22675,22767,2-4_right,right,0.88,"1-2-3_right: 6, 1-5_right: 27, 3-3_right: 32, 2-4_right: 11"
22769,23380,2-4_left,right,0.92,"3-3_right: 263, 3-3_left: 77, 1-2-3_left: 14, 2-4_left: 3, 1-2-3_right: 10, 2-4_right: 14, 1-5_right: 3"
23382,23805,1-2-3_right,right,0.9,"1-5_right: 1, 3-3_left: 22, 3-3_right: 27, 0-6_left: 2, 2-4_right: 9, 1-5_left: 4, 2-4_left: 15, 1-2-3_right: 24"
23806,24100,3-3_right,left,0.92,"1-2-3_left: 43, 1-5_left: 1, 3-3_left: 87, 1-2-3_right: 1, 3-3_right: 162"
24148,24285,2-4_left,left,0.91,"3-3_left: 15, 2-4_left: 35, 1-2-3_left: 78, 1-5_left: 10"
24287,24383,1-5_left,left,0.94,"1-5_left: 92, 1-2-3_left: 2, 2-4_left: 1"
24385,24932,1-5_left,left,0.94,"1-5_left: 82, 1-2-3_left: 121, 0-6_left: 170, 2-4_left: 58, 3-3_left: 14, 3-3_right: 5"
24933,26134,0-6_right,right,0.91,"3-3_left: 184, 2-4_left: 7, 1-2-3_left: 54, 0-6_left: 1, 1-5_left: 4, 3-3_right: 260, 1-2-3_right: 318, 0-6_right: 92, 1-5_right: 64, 2-4_right: 27"
26276,26644,1-2-3_left,left,0.94,"0-6_left: 75, 1-5_left: 55, 1-2-3_left: 80, 2-4_left: 19, 3-3_left: 37, 2-4_right: 1, 3-3_right: 26, 1-2-3_right: 5, 1-5_right: 7"
26720,26987,0-6_left,right,0.91,"3-3_right: 124, 1-2-3_right: 11, 2-4_right: 4, 0-6_right: 2, 3-3_left: 35, 2-4_left: 13, 1-2-3_left: 18, 1-5_left: 42, 0-6_left: 11"
26988,27143,0-6_left,left,0.92,"3-3_left: 39, 1-5_left: 12, 0-6_left: 54, 1-2-3_left: 18, 2-4_left: 17, 3-3_right: 2"
27144,27524,2-4_right,right,0.9,"3-3_left: 88, 2-4_left: 14, 1-5_left: 8, 1-2-3_left: 37, 3-3_right: 30, 1-2-3_right: 7, 1-5_right: 4, 2-4_right: 2, 0-6_right: 3"
27526,27770,3-3_right,right,0.68,3-3_right: 8
27771,28441,0-6_left,left,0.93,"1-5_left: 100, 0-6_left: 64, 1-2-3_left: 60, 2-4_left: 6, 3-3_left: 20, 3-3_right: 26, 1-5_right: 15, 1-2-3_right: 14, 0-6_right: 20, 2-4_right: 5"
28443,28692,0-6_right,left,0.88,"0-6_right: 13, 1-2-3_right: 35, 1-5_right: 108, 3-3_right: 1, 1-2-3_left: 2, 1-5_left: 18"
28850,29008,1-2-3_right,right,0.69,"1-5_left: 70, 0-6_left: 12, 1-5_right: 18, 1-2-3_right: 1"
29011,30056,3-3_right,right,0.9,"3-3_right: 293, 1-2-3_right: 110, 1-5_right: 5, 3-3_left: 166, 2-4_right: 11, 2-4_left: 26, 1-2-3_left: 16, 0-6_left: 2, 1-5_left: 3"
30057,30234,1-5_left,left,0.92,"1-5_left: 40, 1-2-3_left: 26, 0-6_left: 99"
30236,30575,1-2-3_left,left,0.93,"1-5_left: 125, 0-6_left: 56, 2-4_left: 40, 1-2-3_left: 76, 3-3_left: 20, 1-2-3_right: 8, 2-4_right: 11, 3-3_right: 3"
30681,31853,1-2-3_left,right,0.92,"3-3_right: 447, 2-4_right: 76, 3-3_left: 64, 1-2-3_right: 134, 1-5_right: 16, 0-6_right: 104, 1-2-3_left: 23, 2-4_left: 20"
